generations,Population size = 100,Population size = 50,Population size = 10,mean of pop 10,mean_of pop 50,mean_of pop 100
81,28.72818591,28.52137422,24.37295769,17.81510117,7.789660888,6.354397607
82,29.19087988,28.52137422,24.37295769,17.97074609,7.562912486,6.559715268
83,29.19087988,28.52137422,24.37295769,18.3873811,7.26740863,6.254453749
84,29.19087988,28.52137422,24.52790558,18.38092155,7.553309108,6.548214293
85,29.19087988,28.52137422,24.52790558,17.89327876,7.077526944,6.674712332
86,29.19087988,29.31241942,24.52790558,18.1358727,7.557372511,6.420397531
87,29.19087988,29.31241942,24.52790558,17.62863784,7.442276471,6.525535145
88,29.19087988,29.31241942,24.52790558,17.11795627,7.705640738,6.731501945
89,29.19087988,29.31241942,24.52790558,17.04571492,7.311423763,6.739936363
90,29.19087988,29.31241942,24.52790558,16.87033118,7.737083252,6.777717662
91,29.19087988,29.31241942,24.52790558,17.68946046,7.200746893,6.687687739
92,29.19087988,29.48961693,24.52790558,17.79684478,7.354434906,6.815168106
93,29.19087988,29.48961693,24.52790558,17.5488589,7.498705945,6.911089439
94,29.19087988,29.48961693,24.52790558,17.93310786,7.463721268,6.967362665
95,29.19087988,29.48961693,24.52790558,17.38286251,7.114389925,6.842829446
96,29.19087988,29.48961693,24.52790558,17.28468344,7.350695667,6.479495914
97,29.19087988,29.48961693,24.52790558,17.59180647,6.958709589,6.624988988
98,29.19087988,29.48961693,24.52790558,16.40892518,6.978724948,6.504586624
99,29.19087988,29.48961693,24.52790558,16.58395696,7.078707485,6.490076103
100,29.19087988,29.48961693,24.52790558,15.69101792,7.190038245,6.751338267
