,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
306,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,50,63,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
307,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,100,57,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
308,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,250,50,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
309,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,500,43,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
310,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.005,96,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
311,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.01,87,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
312,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.05,82,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
313,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.1,78,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
314,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,1,76,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
315,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,5,69,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
316,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,10,61,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
317,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,50,59,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
318,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,100,44,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
319,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,1,80,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
320,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,2,75,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
321,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,5,25,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
322,CHO-K1,MTT,ZnO,additional,hamster,Animal,epithelial,ovary,Normal,24,10,15,40,14.8,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
