,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
10,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72.0,100.0,18.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
11,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72.0,200.0,5.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
12,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,25.0,60.133,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
13,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,50.0,49.169,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
14,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,100.0,39.092,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
15,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48.0,5.0,93.245,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
16,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48.0,10.0,60.908,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
17,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48.0,25.0,47.841,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
18,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48.0,50.0,37.874,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
19,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48.0,100.0,26.91,52.0,71.7,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
20,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,5.0,101.65,21.6,25.3,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
21,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,10.0,82.234,21.6,25.3,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
22,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,25.0,71.827,21.6,25.3,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
23,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,50.0,59.518,21.6,25.3,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
24,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,100.0,39.848,21.6,25.3,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
25,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24.0,5.0,97.387,21.6,25.3,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
